City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hithadhoo,MV,82.56,scattered clouds,-0.6,73.0833,Scoop Guest House
1,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
2,Mount Isa,AU,83.97,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
5,Hilo,US,78.53,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
7,Acajutla,SV,84.09,scattered clouds,13.5928,-89.8275,Laureles
9,Rikitea,PF,77.81,clear sky,-23.1203,-134.9692,People ThankYou
17,Florianopolis,BR,78.37,broken clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
19,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
22,Bengkulu,ID,75.33,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
23,Kavieng,PG,81.32,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
44,Presidente Medici,BR,82.49,broken clouds,-11.1753,-61.9014,Oliveira Palace Hotel
57,Butaritari,KI,79.86,moderate rain,3.0707,172.7902,Isles Sunset Lodge
62,Sulangan,PH,80.49,overcast clouds,11.1373,123.7228,Maia's Beach Resort
66,East London,ZA,75.47,clear sky,-33.0153,27.9116,Tu Casa
71,Urucui,BR,82.44,overcast clouds,-7.2294,-44.5561,Hotel Premium Piauí
74,Vila Velha,BR,85.95,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
76,Souillac,MU,79.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
82,Garissa,KE,82.69,scattered clouds,-0.4536,39.6401,Sharif Plaza Hotel
88,Rawson,AR,75.42,clear sky,-43.3002,-65.1023,Hosteria Sampedro
89,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
90,Ranong,TH,76.96,few clouds,9.9658,98.6348,Tinidee Hotel@Ranong
91,Atuona,PF,77.61,light rain,-9.8,-139.0333,Villa Enata
93,Arraial Do Cabo,BR,87.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
94,Kapaa,US,79.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
