City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kapaa,US,2022-03-08 20:34:18,22.0752,-159.319,76.12,76,40,12.66
1,Palmer,US,2022-03-08 20:34:19,42.1584,-72.3287,44.15,30,20,13.8
2,Rabak,SD,2022-03-08 20:34:19,13.1809,32.74,89.46,12,69,10.6
3,Yellowknife,CA,2022-03-08 20:33:30,62.456,-114.3525,3.42,72,20,17.0
4,Sept-Iles,CA,2022-03-08 20:34:15,50.2001,-66.3821,28.92,63,75,20.71
5,Beyneu,KZ,2022-03-08 20:34:20,45.3167,55.2,35.13,69,35,14.7
6,Chokurdakh,RU,2022-03-08 20:33:13,70.6333,147.9167,-29.33,100,100,0.85
7,Parthenay,FR,2022-03-08 20:34:21,46.6667,-0.4167,45.95,97,97,8.68
8,Hilo,US,2022-03-08 20:32:24,19.7297,-155.09,80.33,63,0,9.22
9,Dikson,RU,2022-03-08 20:34:22,73.5069,80.5464,-28.1,100,82,7.2
10,Chuy,UY,2022-03-08 20:34:23,-33.6971,-53.4616,72.64,54,0,8.32
11,Hermanus,ZA,2022-03-08 20:34:23,-34.4187,19.2345,70.81,88,8,15.43
12,La Tuque,CA,2022-03-08 20:34:24,47.4334,-72.7824,19.65,58,100,9.22
13,Gravdal,NO,2022-03-08 20:34:25,68.1214,13.5031,35.49,93,75,2.3
14,Yulara,AU,2022-03-08 20:34:25,-25.2406,130.9889,60.64,44,0,5.75
15,Mataura,NZ,2022-03-08 20:33:22,-46.1927,168.8643,54.48,87,97,1.97
16,Punta Arenas,CL,2022-03-08 20:33:24,-53.15,-70.9167,46.51,81,100,16.11
17,Saint Anthony,US,2022-03-08 20:34:26,45.0205,-93.218,38.1,68,100,16.11
18,Sur,OM,2022-03-08 20:34:27,22.5667,59.5289,74.7,59,0,13.65
19,Vaini,TO,2022-03-08 20:33:23,-21.2,-175.2,80.76,89,75,6.91
20,Princeton,US,2022-03-08 20:30:08,25.5384,-80.4089,84.99,69,100,13.8
21,Srednekolymsk,RU,2022-03-08 20:34:28,67.45,153.6833,-4.43,94,100,5.23
22,Paamiut,GL,2022-03-08 20:34:29,61.994,-49.6678,15.3,84,97,5.84
